SHOW,TYPE,NAME
ISLAND VENTURE,Star,Jonathan Hale
ISLAND VENTURE,Star,Norman Gottschalk
ISN'T IT A CRIME,Host,Jerry Marshall
IT HAPPENED IN HOLLYWOOD,Star,John Conte
IT HAPPENED IN HOLLYWOOD,Star,Martha Mears
IT PAYS TO BE MARRIED,Host,Jay Stewart
IT'S ALWAYS SUNDAY,Star,Coleen Collins
IT'S ALWAYS SUNDAY,Star,John Stevenson
IT'S ALWAYS SUNDAY,Star,Nancy Mccullom
IT'S ALWAYS SUNDAY,Announcer,Roy Rowan
IT'S CHESTERFIELD TIME,Star,Alice Faye
IT'S CHESTERFIELD TIME,Star,Hal Kemp Orchestra
IT'S HIGGINS SIR,Star,Harry Mcnaughton
IT'S HIGGINS SIR,Star,Peggy Allenby
IT'S HIGGINS SIR,Star,Vinton Hayworth
IT'S US AGAIN,Announcer,Don Hurst
IT'S US AGAIN,Star,Dorothy Francis
IT'S US AGAIN,Star,Mark Harris
IT'S US AGAIN,Star,Sandra Lawrence
IT'S US AGAIN,Star,Zelda Rihards
IT'S A LIVING,Host,Ben Alexander
IT'S A RACKET,Host,Frank Graham
JACK ARMSTRONG THE ALL AMERICAN BOY,Star,Charles Flynn
JACK ARMSTRONG THE ALL AMERICAN BOY,Star,Jim Goss
JACK FINA ORCHESTRA,Star,Jack Fina
JACK FINA ORCHESTRA,Announcer,Johnny Greenhouse
JACK OAKIE'S COLLEGE,Star,Jack Oakie
JACK SMITH SHOW,Star,Jack Smith
JASON AND THE GOLDEN FLEECE,Star,Macdonald Carey
JEFF REGAN INVESTIGATOR,Star,Frank Graham
JEFF REGAN INVESTIGATOR,Star,Frank Nelson
JEFF REGAN INVESTIGATOR,Star,Jack Webb
JEFF REGAN INVESTIGATOR,Star,Paul Dubov
JEFF REGAN INVESTIGATOR,Star,Wilms Herbert
JIMMY BLADE AND HIS MUSIC,Star,Jimmy Blade
JIMMY BLADE AND HIS MUSIC,Star,Richard Page
JIMMY CARROLL SINGS,Announcer,Ernest Chappell
JIMMY CARROLL SINGS,Star,Jimmy Carroll
JIMMY CARROLL SINGS,Star,Squibb Chorus
JIMMY CARROLL SINGS,Star,Ted Dale Orchestra
JIMMY FIDLER SHOW,Announcer,Harry Von Zell
JIMMY FIDLER SHOW,Host,Jimmy Fidler
JOHN BOLES HOLLYWOOD EXTRA,Host,John Boles
JOHN BOLES HOLLYWOOD EXTRA,Announcer,Ken Carpenter
JOHN J ANTHONY,Announcer,George Putnam
JOHN J ANTHONY,Host,John J. Anthony
JOHN STEELE ADVENTURER,Announcer,Ted Mallie
JOLLY BILL AND JANE,Star,Bill Steinke
JOLLY BILL AND JANE,Star,Pat Pritchard
JUMP JUMP AND THE ICE QUEEN,Star,Harry Hickox
JUMP JUMP AND THE ICE QUEEN,Star,Johnny Mcgovern
JUMP JUMP AND THE ICE QUEEN,Star,Mary Mcconnell
JUNGLE JIM,Announcer,Glenn Riggs
JUNIOR CELEBRITIES,Host,Jack Barry
JUNIOR CELEBRITIES,Announcer,Russ Dunbar
JUNIOR MISS,Star,Barbara Whiting
JUNIOR MISS,Star,Gale Gordon
JUNIOR MISS,Announcer,Roy Rowan
JUST ENTERTAINMENT,Star,Marian Morgan
JUST ENTERTAINMENT,Star,Pat Butrum
JUST FOR YOU,Star,Bob Eberle
JUST FOR YOU,Star,Buddy Clark
JUST OUTSIDE HOLLYWOOD,Star,Charlie Cantor
JUST OUTSIDE HOLLYWOOD,Star,Frank Nelson
JUST OUTSIDE HOLLYWOOD,Star,Hanley Stafford
JUST OUTSIDE HOLLYWOOD,Star,John Brown
JUST OUTSIDE HOLLYWOOD,Announcer,Ken Niles
JUVENILE JURY,Host,Jack Barry
JUVENILE JURY,Announcer,John Scott
KALTENMEYER'S KINDERGARTEN,Star,Billy White
KALTENMEYER'S KINDERGARTEN,Star,Bruce Kamman
KALTENMEYER'S KINDERGARTEN,Star,Cecil Roy
KALTENMEYER'S KINDERGARTEN,Star,Jim Jordan
KALTENMEYER'S KINDERGARTEN,Star,Johnny Wolfe
KALTENMEYER'S KINDERGARTEN,Star,Marian Jordon
KALTENMEYER'S KINDERGARTEN,Star,Merrill Fugit
KALTENMEYER'S KINDERGARTEN,Star,Sidney Ellstrom
KALTENMEYER'S KINDERGARTEN,Star,Thor Ericson
KATE SMITH SPEAKS,Host,Kate Smith
KATE SMITH SPEAKS,Announcer,Ted Collins
KAY JEWELERS' BIRTHDAY BOOK,Host,Al Fosca
KAY KYSER'S KOLLEGE OF MUSICAL KNOWLEDGE,Star,Harry Babbitt
KAY KYSER'S KOLLEGE OF MUSICAL KNOWLEDGE,Star,Kay Kysar
KAY KYSER'S KOLLEGE OF MUSICAL KNOWLEDGE,Star,Merwyn Bogue
KEEP IT IN THE FAMILY,Host,Harry Babbitt
KEEP IT IN THE FAMILY,Announcer,Rod O'connor
KING OF THE ROYAL MOUNTED,Host,John M Kennedy
KING OF THE ROYAL MOUNTED,Star,Richard Dix
KISS AND MAKE UP COURT OF PETTY GRIEVANCES,Star,Milton Berle
KNICKERBOCKER PLAYHOUSE,Star,Anne Seymour
KNICKERBOCKER PLAYHOUSE,Announcer,Dick Wells
KNICKERBOCKER PLAYHOUSE,Star,Elliott Lewis
KRAFT MUSIC HALL,Star,Al Jolson
KRAFT MUSIC HALL,Host,Edward Everett Horton
KRAFT MUSIC HALL,Announcer,Les Tremayne
KYSER KOLLEGE OF FUN AND KNOWLEDGE,Announcer,Bud Hiestand
KYSER KOLLEGE OF FUN AND KNOWLEDGE,Host,Kay Kyser
LADIES BE SEATED,Announcer,Ed Prentiss
LADIES BE SEATED,Host,Johnny Olson
LADY GO LUCKY,Host,Tom Baxter
LAUGH WITH KEN MURRAY,Star,Eve Arden
LAUGH WITH KEN MURRAY,Host,Ken Murray
LAUGH WITH KEN MURRAY,Star,Phil Regan
LAZY LISTENIN' TIME,Announcer,Art Lewis
LAZY LISTENIN' TIME,Host,Jim Westover
LEAVE IT TO JOAN,Star,Joan Davis
LEAVE IT TO THE GIRLS,Announcer,Andre Baruch
LES MISERABLES,Star,Estelle Levy
LES MISERABLES,Star,Martin Gabel
LES MISERABLES,Star,Orson Welles
LES MISERABLES,Star,Virginia Welles
LET GEORGE DO IT,Star,Bob Bailey
LET GEORGE DO IT,Star,Eddie Firestone Jr
LET GEORGE DO IT,Star,Francis Robinson
LET GEORGE DO IT,Star,Joe Kearn
LET GEORGE DO IT,Star,Olan Soule
LET GEORGE DO IT,Star,Virginia Gregg
LET THERE BE MUSIC,Announcer,Don Forbes
LET YOURSELF GO,Star,Joe Bessor
LET YOURSELF GO,Announcer,Ken Roberts
LET YOURSELF GO,Star,Martha Tilton
LET YOURSELF GO,Host,Milton Berle
LET'S GO TO SLAPSIE'S,Announcer,Howard Petrie
LET'S GO TO SLAPSIE'S,Star,Jane Withers
LET'S GO TO SLAPSIE'S,Star,Maxie Rosenbloom
LET'S TALK TO LUCY,Announcer,Gary Morton
LET'S TALK TO LUCY,Host,Lucille Ball
LET'S GO TO TOWN,Host,Eddie Carter
LET'S PRETEND,Host,Uncle Bill Adams
LETTERS FROM ABROAD,Star,Tom Teriss
LIFE BEGINS AT EIGHTY,Announcer,John St. Ledger
LIFE WITH LUIGI,Star,Alan Reed
LIFE WITH LUIGI,Star,Gil Stratton
LIFE WITH LUIGI,Star,Hans Conried
LIFE WITH LUIGI,Star,J. Carrol Naish
LIFE WITH LUIGI,Star,Jody Gilbert
LIFE WITH LUIGI,Star,Joe Forte
LIFE WITH LUIGI,Star,Ken Peters
LIFE WITH LUIGI,Star,Mary Shipp
LIGHT CRUST DOUGHBOYS,Star,Marvin 'smokey' Montgomery
LIGHTS OUT,Host,Arch Oboler
LINCOLN HIGHWAY,Announcer,John Mcintire
LINEUP,Star,Bill Johnstone
LINEUP,Star,Jack Moyles
LISTEN TO A LOVE SONG,Star,Georgia Gibbs
LISTEN TO A LOVE SONG,Star,Tony Martin
LITTLE OLD HOLLYWOOD,Host,Ben Alexander
LIVING IN AN ATOMIC AGE,Host,Ben Grauer
LIVING IN AN ATOMIC AGE,Announcer,Robert Warren
LOG CABIN INN,Star,Lanny Ross
LOG CABIN INN,Star,Pauline Alpert
LOG CABIN INN,Announcer,Tiny Ruffner
LONE JOURNEY,Host,Durward Kirby
LONE JOURNEY,Star,Eloise Kummer
LONE JOURNEY,Star,Les Damon
LONE WOLF,Announcer,Dick Winn
LONE WOLF,Star,Gerald Mohr
LONE WOLF,Star,Jay Novello
LOOK AND LISTEN,Host,Jack Roarke
LOOK YOUR BEST,Announcer,Bill Shipley
LOOK YOUR BEST,Host,Richard Willis
LORA LAWTON,Star,Jan Minor
LORD OF THE RINGS,Host,Tammy Grimes
LUCKY STRIKE MUSIC HALL,Announcer,Milton Cross
LUCKY U RANCH,Star,Betty Taylor
LUCKY U RANCH,Announcer,George Putnam
LUCKY U RANCH,Star,Ken Curtis
LUCKY U RANCH,Star,Shug Fisher
LUKE SLAUGHTER OF TOMBSTONE,Star,Sam Buffington
LUNCHEON WITH LOPEZ,Star,Vincent Lopez And His Orchestra
MADISON THAT'S ME,Star,Lemont Johnson
MAKERS OF HISTORY,Star,Hanley Stafford
MAN OF MAGIC,Star,Felix Greenfield
MANDRAKE THE MAGICIAN,Star,Juano Hernandez
MANDRAKE THE MAGICIAN,Star,Raymond Edward Johnson
MANHUNT,Star,Frances Langford
MANHUNT,Star,Larry Haines
MARINES REPORT,Host,Bill Keen
MARRIED FOR LIFE,Host,Todd Russell
MATINEE,Star,Billy Strange
MATINEE,Host,Harry Babbitt
MATINEE,Star,Marion Morgan
MATINEE THEATER,Host,Martin Gabel
MATINEE THEATER,Star,Victor Jory
MAXINE GRAY ENTERTAINS,Star,Alvino Rey
MAXINE GRAY ENTERTAINS,Star,Maxine Gray
MAXINE GRAY ENTERTAINS,Announcer,Rolley Thomas
MAYOR OF THE TOWN,Star,Agnes Moorehead
MAYOR OF THE TOWN,Announcer,Harlow Wilcox
MAYOR OF THE TOWN,Star,Lionel Barrymore
MCALEER MELODISTS,Announcer,Harry Von Zell
MCALEER MELODISTS,Star,Ozzie Dunn
MCALEER MELODISTS,Star,Scrappy Lambert
MCGARRY AND HIS MOUSE,Announcer,Bert Parks
MCGARRY AND HIS MOUSE,Star,Roger Pryor
MCGARRY AND HIS MOUSE,Star,Shirley Mitchell
ME AND MY SHADOW,Star,Charles W Hamp
MEDICINE USA,Host,Ben Grauer
MEDICINE USA,Announcer,Fred Collins
MEET CORLISS ARCHER,Star,Arlene Becker
MEET CORLISS ARCHER,Star,Barbara Whiting
MEET CORLISS ARCHER,Star,Fred Archer
MEET CORLISS ARCHER,Star,Irene Tedrow
MEET CORLISS ARCHER,Star,Janet Waldo
MEET CORLISS ARCHER,Star,Sam Edwards
MEET CORLISS ARCHER,Star,Tommy Bernard
MEET MISS SHERLOCK,Star,Bill Conrad
MEET MISS SHERLOCK,Star,Joe Petruzzi
MEET MISS SHERLOCK,Announcer,Murray Wagner
MEET MISS SHERLOCK,Star,Sondra Gair
MEET MISTER MCNUTLEY,Star,Ray Milland
MEET THE MEEKS,Star,Beryl Vaughn
MEET THE MEEKS,Star,Forrest Lewis
MEET THE STARS,Star,Betty Jane Rhodes
MEET THE STARS,Star,Dave Rose Orchestra
MEET THE STARS,Star,George Fisher
MEET THE STARS,Announcer,Hugh Brundage
MELODY AND MADNESS,Announcer,Del Sharbutt
MELODY AND MADNESS,Star,Jimmy Durante
MELODY AND MADNESS,Host,Robert Benchley
MELODY SOUVENIRS,Announcer,Norvell Slater
MEMO FROM MOLLY,Star,Barbara Luddy
MEMO FROM MOLLY,Star,Jess Kirkpatrick
MEMO FROM MOLLY,Star,Olan Soule
MEMO FROM MOLLY,Announcer,Roy Rowan
MEMO FROM MOLLY,Star,Sarah Selby
MEMO FROM MOLLY,Star,Stuffy Singer
METROPOLITAN OPERA AUDITIONS OF THE AIR,Host,Milton Cross
MICHAEL PIPER PRIVATE DETECTIVE,Star,John Gibson
MID-MORNING MATINEE,Host,Hal Hodge
MID-MORNING MATINEE,Announcer,Lowell Cartwright
MIDSTREAM,Star,Mercedes Mccambridge
MIDSTREAM,Star,Olan Soule
MIND YOUR MANNERS,Host,Allen Ludden
MIRROR REPORTS,Host,Virgil Pinkly
MIRTH AND MELODY,Star,Eddie Green
MIRTH AND MELODY,Star,Ernest Whitman
MIRTH AND MELODY,Star,Harry Babbitt
MIRTH AND MELODY,Star,Ken Christy
MIRTH AND MELODY,Star,Les Thompson
MIRTH AND MELODY,Star,Martha Tilton
MIRTH AND MELODY,Star,Nickodemus Brown
MIRTH AND MELODY,Star,The Darktown Quartet
MOLLE MYSTERY THEATER,Host,Roc Rogers
MORE ABOUT HARRIS,Announcer,Don Hurst
MORE ABOUT HARRIS,Star,Dorothy Francis
MORE ABOUT HARRIS,Star,Mark Harris
MORE ABOUT HARRIS,Star,Sandra Lawrence
MORE ABOUT HARRIS,Star,Zelda Rihards
MORNING ROUNDUP,Star,Smokey Rogers
MORNING ROUNDUP,Star,Tex Williams
MORTON DOWNEY SHOW,Host,Harry Berge
MORTON DOWNEY SHOW,Star,Morton Downey
MOTOR OIL REVIEW,Host,Ted Husing
MR. ACE AND JANE,Star,Cliff Hall
MR. ACE AND JANE,Star,Eric Dressler
MR. ACE AND JANE,Star,Evelyn Varden
MR. ACE AND JANE,Star,Goodman Ace
MR. ACE AND JANE,Star,Jane Ace
MR. ACE AND JANE,Star,John Griggs
MR. ACE AND JANE,Announcer,Ken Roberts
MR. ACE AND JANE,Star,Pert Kelton
MR. AND MRS. BLANDINGS,Star,Jane Wyatt
MR. AND MRS. BLANDINGS,Star,Robert Cummings
MR. AND MRS. NORTH,Star,Barbara Britton
MR. AND MRS. NORTH,Star,Richard Denning
MR. CHAMELEON,Star,Karl Swenson
MR. FEATHERS,Star,Parker Fennely
MR. PRESIDENT,Star,Betty Lou Gerson
MR. PRESIDENT,Star,Edward Arnold
MR. PRESIDENT,Announcer,Owen James
MR. PRESIDENT,Star,William Conrad
MULLIGAN'S TRAVELS,Star,Arthur Q. Bryan
MULLIGAN'S TRAVELS,Star,Bea Benaderet
MULLIGAN'S TRAVELS,Star,Ed Max
MULLIGAN'S TRAVELS,Star,Eric Snowden
MULLIGAN'S TRAVELS,Star,Sarah Selby
MULLIGAN'S TRAVELS,Star,Sheldon Leonard
MULLIGAN'S TRAVELS,Star,Verna Felton
MURDER AND MR. MALONE,Star,Frank Lovejoy
MURDER AND MR. MALONE,Star,Jack Webb
MURDER AT MIDNIGHT,Host,Raymond Morgan
MURDER WILL OUT,Star,Edward Marr
MURDER WILL OUT,Announcer,Larry Keating
MURDER WILL OUT,Star,William Gargan
MUSIC BY GERSHWIN,Announcer,Don Wilson
MUSIC BY GERSHWIN,Host,George Gershwin
MUSIC DEPRECIATION,Announcer,Tony La Frano
MUSIC FROM HOLLYWOOD,Announcer,Don Rickles
MUSIC FROM HOLLYWOOD,Star,Evelyn Lynn
MUSIC FROM HOLLYWOOD,Star,Larry Cotton
MUSIC OF THE NEW WORLD,Announcer,Charles F. Mccarthy
MUSIC WITH WINGS,Host,Hal Gibney
MY FAVORITE HUSBAND,Star,Bea Benaderet
MY FAVORITE HUSBAND,Star,Gale Gordon
MY FAVORITE HUSBAND,Star,Lucille Ball
MY FAVORITE HUSBAND,Star,Richard Denning
MY FAVORITE HUSBAND,Star,Ruth Perrott
MY FRIEND IRMA,Star,Alan Reed
MY FRIEND IRMA,Star,Cathy Lewis
MY FRIEND IRMA,Star,Gloria Gordon
MY FRIEND IRMA,Star,Hans Conried
MY FRIEND IRMA,Star,John Brown
MY FRIEND IRMA,Star,Leif Erickson
MY FRIEND IRMA,Star,Marie Wilson
MY HOME TOWN,Star,Cliff Arquette
MY HOME TOWN,Star,Will Wright
MY LITTLE MARGIE,Star,Charles Ferrell
MY LITTLE MARGIE,Star,Gale Storm
MY LITTLE MARGIE,Star,Gil Stratton
MY LITTLE MARGIE,Star,Verna Felton
MY LITTLE MARGIE,Star,Will Wright
MY SON JEEP,Star,Donald Cook
MY SON JEEP,Star,Martin Huston
MY WILDEST DREAM,Host,George Putnam
MYRT AND MARGE,Star,Alice Goodkin
MYRT AND MARGE,Star,Alice Yourman
MYRT AND MARGE,Star,Helen Choate
MYRT AND MARGE,Star,Ray Hedge
MYRT AND MARGE,Star,Richard Keith
MYRT AND MARGE,Star,Vinton Hayworth
MYSTERIES OF THE MIND,Host,Henry Morgan
MYSTERIES OF THE MIND,Star,Hugh Lind Casey
NAMES OF TOMORROW FINDING STARDOM TODAY,Announcer,Hal Gibney
NAMES OF TOMORROW FINDING STARDOM TODAY,Host,Henry Russell
NBC EMPHASIS,Host,Bill Cullen
NBC LITTLE THEATER,Star,Betty Lou Gerson
NBC LITTLE THEATER,Star,Gerald Mohr
NBC SHORT STORY,Announcer,Don Stanley
NBC STAR PLAYHOUSE,Host,John Chapman
NBC UNIVERSITY THEATER OF THE AIR,Announcer,Don Stanley
NED JORDAN SECRET AGENT,Star,Jack Mccarthy
NEW THEATER,Host,Eva Le Gallienne
NEW THEATER,Announcer,Fred Collins
NEW YORK TONIGHT,Host,Allen Prescott
NICK CARTER MASTER DETECTIVE,Star,Charlotte Manson
NICK CARTER MASTER DETECTIVE,Star,Ed Latimer
NICK CARTER MASTER DETECTIVE,Star,John Kane
NICK CARTER MASTER DETECTIVE,Star,Lon Clark
NIGHTFALL,Host,Henry Ramer
NONA FROM NOWHERE,Announcer,Ford Bond
NONA FROM NOWHERE,Star,James Kelly
NONA FROM NOWHERE,Star,Karl Weber
NONA FROM NOWHERE,Star,Toni Darney
NONSENSE AND MELODY,Star,Frank Gill Jr.
NONSENSE AND MELODY,Star,William Demling
NOW HEAR THIS,Star,Arnold Robertson
NOW HEAR THIS,Star,Larry Haines
OKLAHOMA ROUNDUP,Host,Hiram Higsby
OLD HAG'S HOUR GLASS,Star,Noreen Gammill
ON STAGE,Star,Cathy Lewis
ON STAGE,Star,Elliott Lewis
ON STAGE,Announcer,George Walsh
ON YOUR MARK,Host,Bud Collyer
ONCE UPON OUR TIME,Star,Jack Hilty
ONE FOR THE MONEY,Host,Mel Allen
ONE OUT OF SEVEN,Star,Jack Webb
ONE OUT OF SEVEN,Announcer,John Galbraith
OPIE CATES SHOW,Star,Barbara Fuller
OPIE CATES SHOW,Star,Francis X. Bushman
OPIE CATES SHOW,Announcer,Hy Averback
OPIE CATES SHOW,Star,Myra Marsh
OPIE CATES SHOW,Star,Opie Cates
ORBIT ONE ZERO,Star,Felix Selton
ORIGINALS BY BENNETT,Star,Joan Bennett
ORPHANS OF DIVORCE,Star,Effie Palmer
ORPHANS OF DIVORCE,Star,Madeliene Pierce
ORPHANS OF DIVORCE,Star,Margaret Anglin
ORPHANS OF DIVORCE,Star,Richard Gordon
OUR AMERICA,Host,Donn Reed
OUR MISS BROOKS,Announcer,Bob LeMond
OUR TOWN,Star,Edward Ellis
OUT OF THE DEEP,Star,Ed May
OUT OF THE DEEP,Star,Wally Meyer
PALMOLIVE BEAUTY BOX THEATER,Star,Jessica Dragonette
PAPPY SMITH AND HIS HIRED HANDS,Star,Part Barnes
PASSPORT FOR ADAMS,Star,Robert Young
PASSPORT TO ROMANCE,Announcer,Don Fredericks
PASSPORT TO ROMANCE,Star,Larry Brooks
PASSPORT TO ROMANCE,Star,Mitzi Green
PAT NOVAK FOR HIRE,Announcer,George Fenneman
PAT NOVAK FOR HIRE,Star,Jack Webb
PAT NOVAK FOR HIRE,Star,Raymond Burr
PAT NOVAK FOR HIRE,Star,Tudor Owen
PAUL WHITEMAN'S CHRISTMAS PARTY,Star,Eugenie Baird
PAUL WHITEMAN'S CHRISTMAS PARTY,Star,Johnny Thompson
PAUL WHITEMAN'S CHRISTMAS PARTY,Announcer,Paul Douglas
PAUL WHITEMAN'S CHRISTMAS PARTY,Star,The Joe Moony Quartet
PEOPLE ARE FUNNY,Host,Art Linkletter
PETE KELLY'S BLUES,Announcer,George Fenneman
PETE KELLY'S BLUES,Star,Jack Webb
PHILCO RADIO TIME,Star,Bing Crosby
PHILCO RADIO TIME,Announcer,Ken Carpenter
PHILO VANCE,Star,Jackson Beck
PHILO VANCE,Announcer,Tom Shirley
PHOENIX SUN RANCH CHUCK WAGON,Host,Bill Bender
PHONE AGAIN FINNEGAN,Star,Stuart Erwin
PHYL COE RADIO MYSTERIES,Star,Bud Collyer
PHYL COE RADIO MYSTERIES,Star,House Jameson
PHYL COE RADIO MYSTERIES,Star,Jay Jostyn
PHYL COE RADIO MYSTERIES,Star,Peggy Allenby
PICK AND PAT,Star,Pat Padgett
PICK AND PAT,Star,Pick Malone
PITFALL,Announcer,Frank Goss
PITFALL,Star,Larry Dobkin
PLANTATION JUBILEE,Announcer,Charles Lyon
PLATTER THEATER,Star,Claire Walsh
PLATTER THEATER,Star,Kyle Kimbrough
PLEASURE PARADE,Announcer,Jimmy Wallington
POINT SUBLIME,Star,Cliff Arquette
POINT SUBLIME,Star,Mel Blanc
POP GOES THE QUESTION,Announcer,Jimmy Leonard
POP GOES THE QUESTION,Host,Ray Shannon
POPEYE THE SAILOR,Star,Detmar Poppen
POT O' GOLD,Host,Horace Heidt
PREMIER PERFORMANCE,Announcer,Ted Meyers
PRESENTING CHARLES BOYER,Host,Charles Boyer
PRESENTING CHARLES BOYER,Announcer,Don Stanley
PRESENTING CHARLES BOYER,Star,Hanley Stafford
PRINCESS PAT PLAYS,Announcer,Harlow Wilcox
PRIVATE SHOWING,Host,Walter Hampden
PROFESSOR QUIZ,Host,Craig Earl
PROFESSOR QUIZ,Announcer,Gene Hamilton
PROWL CAR,Star,Bob Sweeney
PROWL CAR,Star,Elliott Lewis
PROWL CAR,Host,Hunt Stromberg Jr.
PROWL CAR,Star,Jack Moyles
PROWL CAR,Star,Jeanne Bates
PROWL CAR,Announcer,Jim Doyle
PROWL CAR,Star,Paul Frees
PROWL CAR,Star,Peter Leeds
PUBLIC DEFENDER,Star,Henry James Morgan
PUBLIC DEFENDER,Star,Jack Krusceon
PURSUIT,Star,Ben Wright
QUALITY SET TO MUSIC,Announcer,Bill Griskey
QUICK AS A FLASH,Announcer,Cy Harrice
QUICK AS A FLASH,Star,Jackson Beck
QUICK AS A FLASH,Host,Ken Roberts
QUIET PLEASE,Host,Ernest Chappell
RADIO READER,Announcer,Ernest Chappell
RATE YOUR MATE,Host,Joey Adams
RAY HERBECK ORCHESTRA,Announcer,Daryl Hutchins
RAY HERBECK ORCHESTRA,Star,Ray Herbeck
REAL MOMENTS OF ROMANCE,Host,Jim Ameche
RECOLLECTIONS AT 30,Host,Ed Herlihy
RECOLLECTIONS AT 30,Announcer,Fred Collins
RED RYDER,Star,Arthur Q. Bryan
RED RYDER,Star,Horace Murphy
RED RYDER,Star,Reed Hadley
RED RYDER,Star,Tommy Cook
RED SKELTON SHOW,Star,Lurene Tuttle
RED SKELTON SHOW,Star,Pat Mcgeehan
RED SKELTON SHOW,Star,Smith Twins
RED SKELTON SHOW,Star,Red Skelton
REDD HARPER'S HOLLYWOOD ROUNDUP,Star,Alabama Jim Widener
REDD HARPER'S HOLLYWOOD ROUNDUP,Star,Ernie Tavaras
REDD HARPER'S HOLLYWOOD ROUNDUP,Star,Frankie Messina
REDD HARPER'S HOLLYWOOD ROUNDUP,Star,Hank Caldwell
REDD HARPER'S HOLLYWOOD ROUNDUP,Host,Redd Harper
REDD HARPER'S HOLLYWOOD ROUNDUP,Star,Tex Atchison
REDD HARPER'S HOLLYWOOD ROUNDUP,Star,The Roundup Boys
REQUEST PERFORMANCE,Announcer,Del Sharbutt
REVEILLE ROUNDUP,Host,Kleve Kirby
REX ALLEN SHOW,Star,Mary Ellen Kaye
REX ALLEN SHOW,Star,Noel Boggs
REX ALLEN SHOW,Star,Rex Allen
REX ALLEN SHOW,Star,Sons Of The Pioneers
RIDING HIGH,Host,Alois Havrilla
RIPLEY'S BELIEVE IT OR NOT,Announcer,Bill Griffis
RIPLEY'S BELIEVE IT OR NOT,Host,Robert Ripley
ROCKY FORTUNE,Star,Frank Sinatra
ROGER KILGORE PUBLIC DEFENDER,Announcer,Carl Caruso
ROGER KILGORE PUBLIC DEFENDER,Star,Santos Ortega
ROGER KILGORE PUBLIC DEFENDER,Star,Staats Cotsworth
ROGERS OF THE GAZETTE,Star,Georgia Ellis
ROGERS OF THE GAZETTE,Star,Will Rogers
ROMANCE IN RHYTHM,Star,Evelyn Case
ROMANCE IN RHYTHM,Star,Jack Arthur
ROMANCE OF THE RANCHOS,Host,Pedro De Cordoba
SAN FRANCISCO FINAL,Star,Jeff Chandler
SATURDAY NIGHT SERENADE,Star,Jessica Dragonette
SAUNDERS OF THE CIRCLE X,Star,John Cuthbertson
SAY IT WITH WORDS,Host,Dr. Charles Funk
SAY IT WITH WORDS,Announcer,Sidney Walton
SCIENCE EDITOR,Announcer,Don Rickles
SCOUT ABOUT TOWN,Host,Hunt Stromberg Jr.
SCREEN MYSTERY CLUB,Host,Otto Kroeger
SEALTEST VARIETY THEATER,Star,Dorothy Lamour
SEALTEST VARIETY THEATER,Star,Eddie Bracken
SEALTEST VARIETY THEATER,Star,Frank Nelson
SEALTEST VARIETY THEATER,Announcer,Hal Gibney
SEALTEST VILLAGE STORE,Announcer,Frank Barton
SEARS MID MORNING MATINEE,Host,Hal Hodge
SECOND CHANCE,Host,Johnny Olson
SECOND GENERATION,Host,Jack Mccoy
SECRET AGENT K-7 RETURNS,Announcer,John Holbrook
SECRET AGENT K-7 RETURNS,Star,Walter Pidgeon
SECURITY AGENT USA,Star,Arthur Peterson
SECURITY AGENT USA,Star,Ed Prentiss
SECURITY AGENT USA,Star,Everett Clarke
SECURITY AGENT USA,Star,Ken Griffin
SECURITY AGENT USA,Star,Myron Wallace
SECURITY AGENT USA,Star,Oscar Brown Jr.
SECURITY AGENT USA,Star,Sondra Gair
SHADOW OF FU MANCHU,Star,Gale Gordon
SHADOW OF FU MANCHU,Star,Hanley Stanford
SHAFFER PARADE,Announcer,Ed Herlihy
SHAFFER PARADE,Star,Eddy Howard Orchestra
SHELL CHATEAU,Host,Al Jolson
SHELL CHATEAU,Announcer,Ben Grauer
SHERLOCK HOLMES,Announcer,Joseph Bell
SHIRLEY TEMPLE TIME,Host,Truman Bradley
SHORTY BELL,Star,Mickey Rooney
SHOW STOPPERS,Host,Knox Manning
SHOW WORLD,Host,Dick Osgood
SIGMUND SPAETH'S MUSIC QUIZ,Announcer,Keith Herrin
SILENT MEN,Star,Douglas Fairbanks Jr.
SILVER THEATER,Host,Conrad Nagel
SILVER THEATER,Announcer,John Conte
SILVER THEATER,Host,John Loder
SING ALONG,Announcer,Bill Cullen
SING IT AGAIN,Announcer,Bern Bennett
SING IT AGAIN,Host,Dan Seymour
SINGING IN THE MORNING,Star,Danny O'neal
SINGING IN THE MORNING,Announcer,John Tillman
SKIP AND SCORE,Announcer,Ed Brady
SKIP AND SCORE,Host,Tol Avery
SLEEP NO MORE,Host,Ben Grauer
SMILIN ED'S BUSTER BROWN GANG,Host,Ed Mcconnell
SNOW VILLAGE SKETCHES,Star,Arthur Allen
SNOW VILLAGE SKETCHES,Star,Parker Fennely
SO YOU THINK IT'S NEW,Announcer,Andre Baruch
SOCONY SKETCHBOOK,Announcer,Harry Von Zell
SOMETHING FOR THE FAMILY,Host,Georgie Jessel
SOMETHING FOR THE FAMILY,Star,Joan Barton
SOMETHING FOR THE GIRLS,Host,Tom Shirley
SON OF PORTHOS,Star,Diana Perryman
SON OF PORTHOS,Star,Jack Raine
SON OF PORTHOS,Star,Lynne Murphy
SON OF PORTHOS,Star,Sheila Sewell
SONGS BY SINATRA,Star,Frank Sinatra
SONGS BY SINATRA,Star,The Pied Pipers
