THE MINSTREL TRAIN,"Tiney Ruffner, Elizabeth Morgan, Florence McMichael, Cecil Roy",,,,
MORNING ROUNDUP,"Tex Williams, Smokey Rogers",,,,
MR. FEATHERS,Parker Finnelly,,,,
MURDER AND MR. MALONE,"Frank Lovejoy, Jack Webb",,,,
MY HOME TOWN,"Cliff Arquette, Will Wright",,,,
MY LITTLE MARGIE,"Gale Storm, Charles Ferrell, Verna",,,,
MY SON JEEP,"Donald Cook, Martin Huston",,,,
MATINEE,"Marion Morgan, Billy Strange",,,,
MORTON DOWNEY SHOW,Morton Downey,,,,
MUSIC FROM HOLLYWOOD,"Evelyn Lynn, Larry Cotton",,,,
MURDER WILL OUT,"William Gargan, Edward Marr",,,,
MEMO FROM MOLLY,"Olan Soule, Barbara Luddy, Sarah Selby, Jess Kirkpatrick,",,,,
MANHUNT,"Larry Haines, Frances Robinson",,,,
MORE ABOUT HARRIS,"Mark Harris, Zelda Rihards, Dorothy Francis, Sandra Lawrence",,,,
MYSTERIES OF THE MIND,"Hugh Lind Casey, Psychic Investigator",,,,
MIRTH AND MELODY,"Eddie Green, Ernest Whitman, Harry Babbitt, Ken Christy, Les",,,,
MIDSTREAM,"Olan Soule, Mercedes McCambridge",,,,
MAKERS OF HISTORY,Hanley Stafford,,,,
ME AND MY SHADOW,Charles W Hamp,,,,
THE ADVENTURES OF NERO WOLFE,"Sidney Greenstreet, Elliott Lewis",,,,
"NICK CARTER, MASTER DETECTIVE","Lon Clark, Charlotte Manson, Ed Latimer, John Kane",,,,
NOW HEAR THIS,Arnold Robertson or Larry Haines,,,,
NBC LITTLE THEATER,"Gerald Mohr, Betty Lou Gerson",,,,
THE NAVEL AIR RESERVE SHOW,Jim Ameche,,,,
"NED JORDAN, SECRET AGENT",Jack McCarthy,,,,
NONA FROM NOWHERE,"Toni Darney, Karl Weber, James Kelly",,,,
NONSENSE AND MELODY,"Frank Gill, Jr. and William Demling",,,,
THE NOTORIOUS TARIQ,Turhan Bay,,,,
THE NEW SWAN SHOW,"Tommy Riggs and Betty Lou, Verna Felton, Anita",,,,
THE NESTLE PROGRAM,Evelyn Case,,,,
ICE BOX FOLLIES,Wendell Niles and Don Prindle,,,,
ON STAGE,Cathy Lewis and Elliot Lewis,,,,
ONE OUT OF SEVEN,Jack Webb (doing all the voices).,,,,
THE ADVENTURES OF OZZIE AND HARRIET,"Ozzie Nelson, Harriet Nelson, David Nelson, Ricky Nelson",,,,
ORBIT ONE ZERO,Felix Selton,,,,
ORIGINALS BY BENNETT,Joan Bennett,,,,
ORPHANS OF DIVORCE,"Margaret Anglin, Effie Palmer, Richard Gordon, Madeliene",,,,
THE OLSEN AND JOHNSON SHOW,"Ole Olsen, Chick Johson, Gertrude Neisen",,,,
ONCE UPON OUR TIME,Jack Hilty,,,,
OUT OF THE DEEP,"Wally Meyer, Ed May",,,,
OLD HAG’S HOUR GLASS,Noreen Gammill,,,,
OUR TOWN,"Edward Ellis, Margo",,,,
OPIE CATES SHOW,"Opie Cates with Francis X. Bushman, Barbara Fuller, Myra Marsh",,,,
PAT NOVAK FOR HIRE,"Jack Webb, Raymond Burr, Tudor Owen",,,,
THE ADVENTURES OF PAUL TEMPLE ,"Peter Cook, Marjorie Westbury",,,,
PAUL WHITEMAN’S CHRISTMAS PARTY,"Eugenie Baird, Johnny Thompson, The Joe Moony Quartet,",,,,
THE ADVENTURES OF PHILIP MARLOWE,Ed Bishop,,,,
POPEYE THE SAILOR,Detmar Poppen as Popeye,,,,
PALMOLIVE BEAUTY BOX THEATER,Jessica Dragonette,,,,
THE PACKARD SUMMER HOUR,Johnny Green,,,,
THE PHIL HARRIS - ALICE FAYE SHOW,"Phil Harris, Alice Faye, Elliott Lewis, Walter Tetley, Jeanine",,,,
PRESENTING CHARLES BOYER,"Charles Boyer, Hanley Stafford",,,,
PHILO VANCE,Jackson Beck as Philo Vance,,,,
PHILCO RADIO TIME,Bing Crosby,,,,
PASSPORT TO ROMANCE,Mitzi Green and Larry Brooks,,,,
PETE KELLY’S BLUES,Jack Webb               ANNOUNCER: George Fenneman,,,,
THE PAUL WHITEMAN SHOW,"Eugenie Baird, Johnny Thompson, The Joe Moony Quartet,",,,,
PHYL COE RADIO MYSTERIES,"Peggy Allenby, Bud Collyer, Jay Jostyn, House Jameson",,,,
PICK AND PAT,"Pick Malone, Pat Padgett",,,,
YOUR PREVIEW THEATER OF THE AIR,"George O'Hanlon, Marcie McGuire and Clifton Young",,,,
PITFALL,Larry Dobkin as Dr. Bennett,,,,
PURSUIT,Ben Wright as PETER BLACK,,,,
PUBLIC DEFENDER,"Henry James Morgan, Jack Krusceon",,,,
PAPPY SMITH AND HIS HIRED HANDS,Part Barnes,,,,
PASSPORT FOR ADAMS,Robert Young,,,,
THE PENNY SINGLETON SHOW,"Penny Singleton, Sheilah James, Mary Lee Robb, Jim Bacus, Gale",,,,
PHONE AGAIN FINNEGAN,Stuart Erwin,,,,
PLATTER THEATER,"Kyle Kimbrough &amp; Claire Walsh as ""Jack &amp; Jill""",,,,
POINT SUBLIME,Cliff Arquette &amp; Mel Blanc,,,,
THE PRIVATE LIFE OF ROCHESTER VAN JONES,Eddie Anderson,,,,
THE PRICE OF SILENCE,"Ian Hendry, Toby Robins, George Coulouris, Paul Hardwick, Alan",,,,
PROWL CAR,"Elliot Lewis, Jeanne Bates, Paul Frees, Peter Leeds, Bob",,,,
QUICK AS A FLASH,Jackson Beck,,,,
RED SKELTON SHOW,"Lurene Tuttle, Pat McGeehan, Smith Twins",,,,
THE ADVENTURES OF ROCKY JORDAN,"Jack Moyles, Jay Novello",,,,
ROGERS OF THE GAZETTE,"Will Rogers Jr., Georgia Ellis",,,,
ROCKY FORTUNE,Frank Sinatra    SCRIPTS: Ernest Kinoy and George Lfferts,,,,
THE ROY ROGERS SHOW,"PAT FRIDAY, BOB NOLAN, ""SONS OF THE",,,,
RED RYDER,"Reed Hadley, Tommy Cook, Arthur Q. Bryan, Horace Murphy",,,,
THE RADIO EDITION OF THE BIBLE,"Bud Collyer, John Merlin, Sidney Slon, Arthur Vinton, Alexander Scourby",,,,
RAY HERBECK ORCHESTRA,Ray Herbeck,,,,
THE RED NICHOLS SHOW,"Red Nichols and the Five Pennys, Dotty O'Brian, Del Sharbett",,,,
THE REVUERS,"Betty Comden, Adolphe Green",,,,
"ROGER KILGORE, PUBLIC DEFENDER","Santos Ortega, Staats Cotsworth",,,,
THE ROMA WINE SHOW,"Charles Ruggles, Misha Ayer, Mary Astor, Bea Benaderet",,,,
THE RUGGLES,"Charlie Ruggles, Hanley Stafford, Olin Soule",,,,
REDD HARPER’S HOLLYWOOD ROUNDUP,"The Roundup Boys, Tex Atchison, Frankie Messina, Hank Caldwell, Alabama Jim Widener, Ernie Tavaras",,,,
THE ROAD TO DANGER,Curley Bradley and Clarence Hartzell,,,,
REX ALLEN SHOW,"Rex Allen, Mary Ellen Kaye, Sons of the Pioneers, Noel Boggs",,,,
ROMANCE IN RHYTHM,Evelyn Case and Jack Arthur,,,,
THE RAY BOLGER SHOW,Ray Bolger,,,,
THE ADVENTURES OF ROBIN HOOD,Robert Clark as Robin and Alan Reed as Little John,,,,
THE ROSEMARY CLOONEY SHOW,Rosemary Clooney,,,,
THE RANSOM SHERMAN SHOW,"Ransom Sherman, Martha Tilton, Gordon Jenkins' Orchestra",,,,
THE STRANGE DR. WEIRD,Maurice Tarplin,,,,
THE SIX SHOOTER,James Stewart as Britt Poncet.,,,,
SUSPENSE STORY,Joseph,,,,
THE ADVENTURES OF SAM SPADE,"Steve Dunn, Lurene Tuttle",,,,
THE SHADOW,"John Archer, Marion Sharkley (Later: Steve Courtleigh, Laura",,,,
THE SMITHS OF HOLLYWOOD,"Arthur Treacher, Harry Von Zell, Brenda Marshall, Jan Ford",,,,
SHADOW OF FU MANCHU,"Hanley Stanford, Gale Gordon",,,,
THE SAINT,Vincent Price as Simon Templar,,,,
STRAIGHT ARROW,"Howard Culver as Steve Adams/Straight Arrow, Fred Howard",,,,
THE SAD SACK,"Herb Vigran, Jim Backus, Sandra Gould,",,,,
STAIRWAY TO THE STARS,Howard Culver,,,,
SEALTEST VARIETY THEATER,"Dorothy Lamour, Eddie Bracken, Frank Nelson",,,,
THE SPIKE JONES SHOW,"Spike Jones &amp; ""The City Slickers"",  Doodles Weaver",,,,
SPOTLIGHT REVUE,"Spike Jones &amp; ""The City Slickers"",  Dorothy Shay,  Doodles",,,,
SONGS BY SINATRA,"Frank Sinatra, The Pied Pipers",,,,
SHORTY BELL,Mickey Rooney as Shorty Bell,,,,
"SECURITY AGENT, USA","Everett Clark, Arthur Peterson, Ed Prentiss, Myron Wallace,",,,,
THE SHEILA GRAHAM SHOW,Sheila Graham,,,,
SWEENEY AND MARCH,"Bob Sweeney, Hal March, Doris Singleton",,,,
THE SOFT SONGS PROGRAM,Evelyn Case,,,,
SUMMER STARS,"Joan Edwards, Louise Massey and Her Westerners",,,,
THE ADVENTURES OF SALLY IN HOLLYWOOD LAND,"Norma Jean Nilsson, Theodore Von Eltz, Billy Fletcher, June",,,,
THE SIGNAL CARNIVAL,"Jack Carson, Vera Vague,  Kay St. Germain",,,,
SATURDAY NIGHT SERENADE,Jessica Dragonette,,,,
STOOPNAGLE AND BUDD,F. Chase Taylor and Budd Hulick,,,,
THE ADVENTURES OF THE SCARLET CLOAK,Wendell Niles as Brad Lava,,,,
SECRET AGENT K-7 RETURNS,Walter Pidgeon,,,,
SILENT MEN,"Douglas Fairbanks, Jr. as a different U.S. Government Agent",,,,
SNOW VILLAGE SKETCHES,"Arthur Allen, Parker Finnley",,,,
SON OF PORTHOS,"Sheila Sewell, Lynne Murphy, Jack Raine, Diana Perryman,",,,,
SINGING IN THE MORNING,Danny O'Neal,,,,
SAN FRANCISCO FINAL,Jeff Chandler,,,,
SOMETHING FOR THE FAMILY,Joan Barton,,,,
SHAFFER PARADE,Eddy Howard Orchestra,,,,
STARS IN THE SPOTLIGHT,Harold Collins,,,,
SAUNDERS OF THE CIRCLE X,"John Cuthbertson as Bill Saunders, Foreman of The Circle X",,,,
STAGE CAREER,Elaine Barrie Barrymore,,,,
TALES OF THE TEXAS RANGERS,Joel McCrea as Ranger Jase Pearson,,,,
TOP SECRET,"Iona Massey, billed in the program as ""gorgeous Iona Massey"",",,,,
TIME FOR LOVE,Robert Readick,,,,
THIS IS YOUR FBI,Stacy Harris,,,,
TARZAN,Lamont Johnson as Tarzan,,,,
21ST PRECINCT,"Les Damon as Captain Keough, Ken Lynch, Harold Stone",,,,
THE TEX AND JINX SHOW,Tex McCrary and Jinx Falkenburg,,,,
THE TOM MIX RALSTON STRAIGHTSHOOTERS,"Joe ""Curley"" Bradley",,,,
TEN-TWO-FOUR RANCH,"Dick Foran, Martha Mears, The Sons of the Pioneers",,,,
TEXACO STAR THEATER,"Frances Langford, Irene Ryan, Kenny Baker",,,,
THAT’S RICH,"STAN FREBERG, PATTI CHAPMAN",,,,
T-MAN,Dennis O'Keefe,,,,
THAT HAMMER GUY,Larry Haines,,,,
TIME OUT WITH ALLEN PRESCOTT,Allen Prescott,,,,
THIS FABULOUS WORLD,Herb Butterfield,,,,
TOO MANY COOKS,"Hal March, Mary Jane Croft as parents of 10 children",,,,
TUNE TIME,"Vera Massey, Charlie Jordan",,,,
TENNESSEE PARTY TIME,"Winston County Pea Pickers-Lonzo and Oscar, String Bean, Chet",,,,
THAT BREWSTER BOY,"Eddie Firestone, Jr.",,,,
THE THREE SUNS SHOW,"Al Nevins (guitar), Morty Nevins (accordion) and Artie Dunn",,,,
THREE PAIRS AND AN ACE,Merle Travis,,,,
TIME OUT FOR COMMENT,Howard Rieder,,,,
TROMMER’S TROOPERS,"Lou Holtz, Ted Husing, Kay Thompson",,,,
THREE OF A KIND,"Stars Hanley Stafford, Ilka Chase, Bert Lahr",,,,
UNCLE JUDGE BEN,"Forrest Lewis, Peggy Webber, William Green",,,,
THE VOYAGE OF THE SCARLET QUEEN,Elliot Lewis as PHILIP CARNEY,,,,
VERNON CRANE’S STORYBOOK,"Vernon Crane, ""The Walking-Talking Story Book""",,,,
VIOLENCE,Harry Bartell as Dr. Richard Morley,,,,
VARIATIONS BY VAN CLEAVE,Nathan Van Cleave,,,,
VICTOR BORGE SHOW,"Victor Borge, Benny Goodman and His Orchestra",,,,
THE WHISPERER,Carlton Young as Philip Gualt (The Whisperer).,,,,
WILD BILL HICKOK,"Guy Madison, Andy Devine    WITH: Ralph Moody, Howard McNear,",,,,
WITCH’S TALE,"Miriam Wolfe (13-years-old) as ""OLD NANCY, the Witch""",,,,
WAYSIDE THEATRE,"Olan Soule, Patricia Dunlap",,,,
WHITE FIRES OF INSPIRATION,"Lurene Tuttle, Ted Osborn    ANNCR: Art",,,,
TALES OF WILLIE PIPER,"Billy Redfield, Ruth Gilbert",,,,
WAKE-UP RANCH,Clifie Stone as the DJ,,,,
WOMEN’S PRISON,Ethel Wilson as Agnes Henderson in the dramas,,,,
THE WOODY WOODPECKER SHOW,Mel Blanc,,,,
WE ARE ALWAYS YOUNG,"William Janney, Pert Kelton, Joseph Granby, Joe Laurie Jr.",,,,
WHAT’S THE MATTER WITH FATHER,"Ken Niles, Bob Bentz, Jane Morgan",,,,
YOUR RADIO ALMANAC,"Agnes Moorehead, Hans Conreid, John McIntire, Walter Tetley,",,,,
YOUR STORY PARADE,John Arlen,,,,
YOU ARE THE JURY,Jay Jostyn,,,,
YOUNG LOVE,"Jimmy Lydon, Janet Waldo, John Houston, Jerry Housner",,,,
YOUR HIT PARADE,Frank Sinatra,,,,
YOUR DAYTIME RADIO NEWSPAPER,Bernadine Flynn and Druwood Kirby,,,,
YOUR QUARTER HOUR SERENADE,"Berry McKinnly, John Garth",,,,
YAWN PATROL,Johnny Grant,,,,
THE ZANE GREY SHOW,Don MacLaughlin as Tex Thorne,,,,
